plate_num,can_be_solved
000-0,False
000-0,True
000-1,True
000-1,False
000-2,False
000-2,True
000-3,True
000-3,False
000-4,False
000-5,False
000-6,False
000-7,False
000-8,False
000-9,False
001-0,True
001-0,False
001-1,False
001-1,True
001-2,False
001-2,True
001-3,False
001-3,True
001-4,False
001-5,False
001-6,False
001-7,False
001-8,False
001-9,False
002-0,False
002-0,True
002-1,True
002-1,False
002-2,True
002-2,False
002-3,False
002-3,True
002-4,False
002-4,True
002-5,False
002-6,False
002-7,False
002-8,False
002-9,False
003-0,False
003-0,True
003-1,False
003-2,False
003-3,False
003-4,False
003-5,False
003-6,True
003-6,False
003-7,False
003-7,True
003-8,False
003-8,True
003-9,False
004-0,False
004-0,True
004-1,False
004-2,False
004-3,False
004-4,False
004-5,False
004-6,False
004-7,False
004-8,False
004-9,False
005-0,False
005-0,True
005-1,False
005-2,False
005-3,False
005-4,False
005-5,False
005-6,False
005-7,False
005-8,False
005-9,False
006-0,False
006-0,True
006-1,False
006-2,False
006-3,False
006-4,False
006-5,False
006-6,False
006-7,False
006-8,False
006-9,False
007-0,False
007-0,True
007-1,False
007-2,False
007-3,False
007-4,False
007-5,False
007-6,False
007-7,False
007-8,False
007-9,False
008-0,True
008-0,False
008-1,False
008-2,False
008-3,False
008-4,False
008-5,False
008-6,False
008-7,False
008-8,False
008-9,False
009-0,False
009-0,True
009-1,False
009-2,False
009-3,False
009-4,False
009-5,False
009-6,False
009-7,False
009-8,False
009-9,False
010-0,False
010-0,True
010-1,False
010-1,True
010-2,False
010-2,True
010-3,False
010-3,True
010-4,False
010-5,False
010-6,False
010-7,False
010-8,False
010-9,False
011-0,False
011-0,True
011-1,False
011-1,True
011-2,False
011-2,True
011-3,False
011-3,True
011-4,False
011-5,False
011-6,False
011-7,False
011-8,False
011-9,False
012-0,False
012-0,True
012-1,False
012-1,True
012-2,False
012-2,True
012-3,False
012-3,True
012-4,True
012-4,False
012-5,False
012-6,False
012-7,False
012-8,False
012-9,False
013-0,False
013-0,True
013-1,False
013-2,False
013-3,False
013-4,False
013-5,False
013-6,False
013-6,True
013-7,False
013-7,True
013-8,False
013-8,True
013-9,False
014-0,False
014-0,True
014-1,False
014-2,False
014-3,False
014-4,False
014-5,False
014-6,False
014-7,False
014-8,False
014-9,False
015-0,False
015-0,True
015-1,False
015-2,False
015-3,False
015-4,False
015-5,False
015-6,False
015-7,False
015-8,False
015-9,False
016-0,False
016-0,True
016-1,False
016-2,False
016-3,False
016-4,False
016-5,False
016-6,False
016-7,False
016-8,False
016-9,False
017-0,False
017-0,True
017-1,False
017-2,False
017-3,False
017-4,False
017-5,False
017-6,False
017-7,False
017-8,False
017-9,False
018-0,False
018-0,True
018-1,False
018-2,False
018-3,False
018-4,False
018-5,False
018-6,False
018-7,False
018-8,False
018-9,False
019-0,False
019-0,True
019-1,False
019-2,False
019-3,False
019-4,False
019-5,False
019-6,False
019-7,False
019-8,False
019-9,False
020-0,False
020-0,True
020-1,False
020-1,True
020-2,True
020-2,False
020-3,False
020-3,True
020-4,False
020-4,True
020-5,False
020-6,False
020-7,False
020-8,False
020-9,False
021-0,False
021-0,True
021-1,True
021-1,False
021-2,False
021-2,True
021-3,False
021-3,True
021-4,False
021-4,True
021-5,False
021-6,False
021-7,False
021-8,False
021-9,False
022-0,True
022-0,False
022-1,False
022-1,True
022-2,False
022-3,False
022-4,False
022-4,True
022-5,True
022-5,False
022-6,False
022-6,True
022-7,False
022-8,False
022-9,False
023-0,False
023-1,False
023-2,False
023-3,False
023-3,True
023-4,False
